algorithm,input,n,time_ms,comparisons,max_depth
MergeSort,random,1000,0,9491,8
QuickSort,random,1000,0,10493,6
QuickSelect,random,1000,0,3507,0
MergeSort,sorted,1000,0,4236,8
QuickSort,sorted,1000,0,11295,6
QuickSelect,sorted,1000,0,2696,0
MergeSort,duplicates,1000,0,9107,8
QuickSort,duplicates,1000,0,3403,2
QuickSelect,duplicates,1000,0,2106,0
MergeSort,random,10000,2,127186,11
QuickSort,random,10000,1,151983,9
QuickSelect,random,10000,0,36828,0
MergeSort,sorted,10000,0,59248,11
QuickSort,sorted,10000,0,150788,8
QuickSelect,sorted,10000,0,31099,0
MergeSort,duplicates,10000,0,121535,11
QuickSort,duplicates,10000,0,33118,2
QuickSelect,duplicates,10000,0,20994,0
MergeSort,random,100000,12,1639174,14
QuickSort,random,100000,15,1980436,11
QuickSelect,random,100000,2,300732,0
MergeSort,sorted,100000,6,744016,14
QuickSort,sorted,100000,11,2026664,10
QuickSelect,sorted,100000,1,492906,0
MergeSort,duplicates,100000,11,1562181,14
QuickSort,duplicates,100000,3,380265,2
QuickSelect,duplicates,100000,2,290341,0
MergeSort,random,1000000,131,19887487,18
QuickSort,random,1000000,140,25166407,13
QuickSelect,random,1000000,15,3468669,0
MergeSort,sorted,1000000,43,9071040,18
QuickSort,sorted,1000000,80,24919266,13
QuickSelect,sorted,1000000,7,3730420,0
MergeSort,duplicates,1000000,77,18922524,18
QuickSort,duplicates,1000000,19,3597754,2
QuickSelect,duplicates,1000000,10,1800520,0
